Toni_Kukoč,award,1994_NBA_playoffs,"Possibly Valid (No expected domain, no actual range to check against)","['', {'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/BasketballPlayer'}, 'http://dbpedia.org/ontology/Award', set()]"
Table_tennis_at_the_2008_Summer_Olympics_–_Women's_singles,games,2008 Summer,Valid,"['http://dbpedia.org/ontology/OlympicResult', {'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/OlympicEvent', 'http://dbpedia.org/ontology/Olympics', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/SportsEvent'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
Table_tennis_at_the_2008_Summer_Olympics_–_Women's_singles,nextEvent,Table_tennis_at_the_2012_Summer_Olympics_–_Women's_singles,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/Event', {'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/OlympicEvent', 'http://dbpedia.org/ontology/Olympics', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/SportsEvent'}, 'http://dbpedia.org/ontology/Event', {'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/OlympicEvent', 'http://dbpedia.org/ontology/Olympics', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/SportsEvent'}]"
Table_tennis_at_the_2008_Summer_Olympics_–_Women's_singles,previousEvent,Table_tennis_at_the_2004_Summer_Olympics_–_Women's_singles,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/Event', {'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/OlympicEvent', 'http://dbpedia.org/ontology/Olympics', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/SportsEvent'}, 'http://dbpedia.org/ontology/Event', {'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/OlympicEvent', 'http://dbpedia.org/ontology/Olympics', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/SportsEvent'}]"
Table_tennis_at_the_2008_Summer_Olympics_–_Women's_singles,bronzeMedalist,Guo_Yue_(table_tennis),"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/SportsEvent', {'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/OlympicEvent', 'http://dbpedia.org/ontology/Olympics', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/SportsEvent'}, 'http://dbpedia.org/ontology/Person', {'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/TableTennisPlayer'}]"
Table_tennis_at_the_2008_Summer_Olympics_–_Women's_singles,goldMedalist,Zhang_Yining,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/SportsEvent', {'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/OlympicEvent', 'http://dbpedia.org/ontology/Olympics', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/SportsEvent'}, 'http://dbpedia.org/ontology/Person', {'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/TableTennisPlayer'}]"
Table_tennis_at_the_2008_Summer_Olympics_–_Women's_singles,silverMedalist,Wang_Nan_(table_tennis),"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/SportsEvent', {'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/OlympicEvent', 'http://dbpedia.org/ontology/Olympics', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/SportsEvent'}, 'http://dbpedia.org/ontology/Person', {'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/TableTennisPlayer'}]"
Table_tennis_at_the_2004_Summer_Olympics_–_Women's_singles,nextEvent,Table_tennis_at_the_2008_Summer_Olympics_–_Women's_singles,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/Event', {'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/OlympicEvent', 'http://dbpedia.org/ontology/Olympics', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/SportsEvent'}, 'http://dbpedia.org/ontology/Event', {'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/OlympicEvent', 'http://dbpedia.org/ontology/Olympics', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/SportsEvent'}]"
Table_tennis_at_the_2012_Summer_Olympics_–_Women's_singles,previousEvent,Table_tennis_at_the_2008_Summer_Olympics_–_Women's_singles,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/Event', {'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/OlympicEvent', 'http://dbpedia.org/ontology/Olympics', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/SportsEvent'}, 'http://dbpedia.org/ontology/Event', {'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/OlympicEvent', 'http://dbpedia.org/ontology/Olympics', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/SportsEvent'}]"
The_Natural_Son,author,Richard_Cumberland_(dramatist),"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/Work', {'http://dbpedia.org/ontology/Play', 'http://dbpedia.org/ontology/WrittenWork', 'http://dbpedia.org/ontology/Work'}, 'http://dbpedia.org/ontology/Person', {'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/Writer'}]"
