Pennsylvania_Route_110,Infrastructure/length,9.18935424,"Possibly Valid (Domain matches, no actual range to check against)","['http://dbpedia.org/ontology/Infrastructure', {'http://dbpedia.org/ontology/Road', 'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Infrastructure', 'http://dbpedia.org/ontology/RouteOfTransportation'}, 'http://dbpedia.org/datatype/kilometre', set()]"
Pennsylvania_Route_110,length,9189.354240000001,Valid,"['', {'http://dbpedia.org/ontology/Road', 'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Infrastructure', 'http://dbpedia.org/ontology/RouteOfTransportation'}, 'http://www.w3.org/2001/XMLSchema#double', set()]"
Pennsylvania_Route_110,routeEnd,"Ernest,_Pennsylvania","Invalid (Domain matches, range does not match)","['http://dbpedia.org/ontology/RouteOfTransportation', {'http://dbpedia.org/ontology/Road', 'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Infrastructure', 'http://dbpedia.org/ontology/RouteOfTransportation'}, 'http://dbpedia.org/ontology/Station', {'http://dbpedia.org/ontology/CityDistrict', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}]"
Pennsylvania_Route_110,routeEndDirection,East,Valid,"['http://dbpedia.org/ontology/RouteOfTransportation', {'http://dbpedia.org/ontology/Road', 'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Infrastructure', 'http://dbpedia.org/ontology/RouteOfTransportation'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
Pennsylvania_Route_110,routeNumber,110,Valid,"['http://dbpedia.org/ontology/RouteOfTransportation', {'http://dbpedia.org/ontology/Road', 'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Infrastructure', 'http://dbpedia.org/ontology/RouteOfTransportation'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
Pennsylvania_Route_110,routeStart,"Creekside,_Pennsylvania","Invalid (Domain matches, range does not match)","['http://dbpedia.org/ontology/RouteOfTransportation', {'http://dbpedia.org/ontology/Road', 'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Infrastructure', 'http://dbpedia.org/ontology/RouteOfTransportation'}, 'http://dbpedia.org/ontology/Station', {'http://dbpedia.org/ontology/CityDistrict', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}]"
Pennsylvania_Route_110,routeStartDirection,West,Valid,"['http://dbpedia.org/ontology/RouteOfTransportation', {'http://dbpedia.org/ontology/Road', 'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Infrastructure', 'http://dbpedia.org/ontology/RouteOfTransportation'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
Pennsylvania_Route_110,routeTypeAbbreviation,PA,Valid,"['http://dbpedia.org/ontology/RouteOfTransportation', {'http://dbpedia.org/ontology/Road', 'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Infrastructure', 'http://dbpedia.org/ontology/RouteOfTransportation'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
Selište_(Trstenik),country,Serbia,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Village', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Location'}, 'http://dbpedia.org/ontology/Country', {'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}]"
Selište_(Trstenik),populationTotal,928,Valid,"['', {'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Village', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Location'}, 'http://www.w3.org/2001/XMLSchema#nonNegativeInteger', set()]"
Selište_(Trstenik),subdivision,Rasina_District,"Valid (No expected domain, no expected range)","['', {'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Village', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Location'}, '', {'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/AdministrativeRegion', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Region'}]"
Selište_(Trstenik),subdivision,"Trstenik,_Serbia","Valid (No expected domain, no expected range)","['', {'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Village', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Location'}, '', {'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Town', 'http://dbpedia.org/ontology/Location'}]"
Selište_(Trstenik),timeZone,Central_European_Summer_Time,"Valid (Domain matches, no expected range)","['http://dbpedia.org/ontology/Place', {'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Village', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Location'}, '', set()]"
Selište_(Trstenik),timeZone,Central_European_Time,"Valid (Domain matches, no expected range)","['http://dbpedia.org/ontology/Place', {'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Village', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Location'}, '', set()]"
Selište_(Trstenik),type,Village,"Valid (No expected domain, no expected range)","['', {'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Village', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Location'}, '', set()]"
Selište_(Trstenik),utcOffset,+1,Valid,"['http://dbpedia.org/ontology/Place', {'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Village', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Location'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
Selište_(Trstenik),utcOffset,+2,Valid,"['http://dbpedia.org/ontology/Place', {'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Village', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Location'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
Bayou_Wikoff,city,"Church_Point,_Louisiana","Invalid (No expected domain, range does not match)","['', {'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Stream', 'http://dbpedia.org/ontology/River', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/BodyOfWater', 'http://dbpedia.org/ontology/NaturalPlace'}, 'http://dbpedia.org/ontology/City', {'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Town', 'http://dbpedia.org/ontology/Location'}]"
Bayou_Wikoff,length,48280.32,Valid,"['', {'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Stream', 'http://dbpedia.org/ontology/River', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/BodyOfWater', 'http://dbpedia.org/ontology/NaturalPlace'}, 'http://www.w3.org/2001/XMLSchema#double', set()]"
Bayou_Wikoff,riverMouth,Bayou_Plaquemine_Brule,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/River', {'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Stream', 'http://dbpedia.org/ontology/River', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/BodyOfWater', 'http://dbpedia.org/ontology/NaturalPlace'}, 'http://dbpedia.org/ontology/BodyOfWater', {'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Stream', 'http://dbpedia.org/ontology/River', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/BodyOfWater', 'http://dbpedia.org/ontology/NaturalPlace'}]"
Heathfield_Community_College,lowerAge,11,Valid,"['http://dbpedia.org/ontology/School', {'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/School', 'http://dbpedia.org/ontology/EducationalInstitution'}, 'http://www.w3.org/2001/XMLSchema#nonNegativeInteger', set()]"
Heathfield_Community_College,upperAge,18,Valid,"['http://dbpedia.org/ontology/School', {'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/School', 'http://dbpedia.org/ontology/EducationalInstitution'}, 'http://www.w3.org/2001/XMLSchema#nonNegativeInteger', set()]"
Heathfield_Community_College,address,Cade Street,Valid,"['http://dbpedia.org/ontology/Place', {'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/School', 'http://dbpedia.org/ontology/EducationalInstitution'}, 'http://www.w3.org/1999/02/22-rdf-syntax-ns#langString', set()]"
Heathfield_Community_College,city,"Heathfield,_East_Sussex","Invalid (No expected domain, range does not match)","['', {'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/School', 'http://dbpedia.org/ontology/EducationalInstitution'}, 'http://dbpedia.org/ontology/City', {'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Town', 'http://dbpedia.org/ontology/Location'}]"
Heathfield_Community_College,country,England,"Possibly Valid (No expected domain, no actual range to check against)","['', {'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/School', 'http://dbpedia.org/ontology/EducationalInstitution'}, 'http://dbpedia.org/ontology/Country', set()]"
Heathfield_Community_College,foundingYear,1950,Valid,"['', {'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/School', 'http://dbpedia.org/ontology/EducationalInstitution'}, 'http://www.w3.org/2001/XMLSchema#gYear', set()]"
Heathfield_Community_College,postalCode,TN21 8RJ,Valid,"['', {'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/School', 'http://dbpedia.org/ontology/EducationalInstitution'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
Heathfield_Community_College,type,Community_school_(England_and_Wales),"Valid (No expected domain, no expected range)","['', {'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/School', 'http://dbpedia.org/ontology/EducationalInstitution'}, '', set()]"
Heathfield_Community_College,county,East_Sussex,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/School', 'http://dbpedia.org/ontology/EducationalInstitution'}, 'http://dbpedia.org/ontology/PopulatedPlace', {'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/AdministrativeRegion', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/Region'}]"
Helena_Dollimore,education,Heathfield_Community_College,"Valid (Domain matches, no expected range)","['http://dbpedia.org/ontology/Person', {'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/Person'}, '', {'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/School', 'http://dbpedia.org/ontology/EducationalInstitution'}]"
Joe_Marler,school,Heathfield_Community_College,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/Person', {'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/RugbyPlayer', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Athlete'}, 'http://dbpedia.org/ontology/EducationalInstitution', {'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/School', 'http://dbpedia.org/ontology/EducationalInstitution'}]"
Laveyron,PopulatedPlace/area,5.32,"Possibly Valid (Domain matches, no actual range to check against)","['http://dbpedia.org/ontology/PopulatedPlace', {'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}, 'http://dbpedia.org/datatype/squareKilometre', set()]"
Laveyron,area,5320000.0,Valid,"['', {'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}, 'http://www.w3.org/2001/XMLSchema#double', set()]"
Laveyron,canton,"Canton_of_Saint-Vallier,_Drôme","Possibly Valid (Domain matches, no actual range to check against)","['http://dbpedia.org/ontology/Settlement', {'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}, 'http://dbpedia.org/ontology/Settlement', set()]"
