Karl_Schwarzschild,knownFor,Interior_Schwarzschild_metric,"Valid (No expected domain, no expected range)","['', {'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/Scientist'}, '', set()]"
Triosephosphate_isomerase,ecNumber,5.3.1.1,Valid,"['http://dbpedia.org/ontology/Biomolecule', {'http://dbpedia.org/ontology/Enzyme', 'http://dbpedia.org/ontology/Biomolecule'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
AMG-517,casNumber,659730-32-2,Valid,"['', {'http://dbpedia.org/ontology/ChemicalSubstance', 'http://dbpedia.org/ontology/Drug'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
AMG-517,chEMBL,229430,Valid,"['http://dbpedia.org/ontology/ChemicalSubstance', {'http://dbpedia.org/ontology/ChemicalSubstance', 'http://dbpedia.org/ontology/Drug'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
AMG-517,fdaUniiCode,172V4FBZ75,Valid,"['', {'http://dbpedia.org/ontology/ChemicalSubstance', 'http://dbpedia.org/ontology/Drug'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
AMG-517,pubchem,16007367,Valid,"['http://dbpedia.org/ontology/ChemicalSubstance', {'http://dbpedia.org/ontology/ChemicalSubstance', 'http://dbpedia.org/ontology/Drug'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
Losoxantrone,casNumber,88303-60-0,Valid,"['', {'http://dbpedia.org/ontology/ChemicalSubstance', 'http://dbpedia.org/ontology/Drug'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
Losoxantrone,fdaUniiCode,47KPH00809,Valid,"['', {'http://dbpedia.org/ontology/ChemicalSubstance', 'http://dbpedia.org/ontology/Drug'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
Losoxantrone,pubchem,72116,Valid,"['http://dbpedia.org/ontology/ChemicalSubstance', {'http://dbpedia.org/ontology/ChemicalSubstance', 'http://dbpedia.org/ontology/Drug'}, 'http://www.w3.org/2001/XMLSchema#string', set()]"
11-Deoxycortisol,alternativeName,"11-Deoxycortisol; 11-Deoxycortisone; Cortoxelone; 17α,21-Dihydroxyprogesterone; 11-Desoxycortisol; 11-Deoxyhydrocortisone; 11-Desoxyhydrocortisone; 17α-Hydroxy-11-deoxycorticosterone; Reichstein's Substance S; Compound S; Cortodoxone; Cortexolone,",Valid,"['', {'http://dbpedia.org/ontology/ChemicalCompound', 'http://dbpedia.org/ontology/ChemicalSubstance'}, 'http://www.w3.org/1999/02/22-rdf-syntax-ns#langString', set()]"
