Honda_WR-V,bodyStyle,SUV,"Valid (Domain matches, no expected range)","['http://dbpedia.org/ontology/Automobile', {'http://dbpedia.org/ontology/Automobile', 'http://dbpedia.org/ontology/MeanOfTransportation'}, '', set()]"
Honda_WR-V,class,Subcompact_crossover_SUV,"Valid (No expected domain, no expected range)","['', {'http://dbpedia.org/ontology/Automobile', 'http://dbpedia.org/ontology/MeanOfTransportation'}, '', set()]"
Honda_WR-V,layout,"Front-engine,_front-wheel-drive_layout","Valid (Domain matches, no expected range)","['http://dbpedia.org/ontology/Automobile', {'http://dbpedia.org/ontology/Automobile', 'http://dbpedia.org/ontology/MeanOfTransportation'}, '', set()]"
Honda_WR-V,manufacturer,Honda,"Valid (No expected domain, range matches)","['', {'http://dbpedia.org/ontology/Automobile', 'http://dbpedia.org/ontology/MeanOfTransportation'}, 'http://dbpedia.org/ontology/Organisation', {'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Company'}]"
Honda_WR-V,predecessor,Honda_Fit_(second_generation),"Valid (No expected domain, no expected range)","['', {'http://dbpedia.org/ontology/Automobile', 'http://dbpedia.org/ontology/MeanOfTransportation'}, '', {'http://dbpedia.org/ontology/Automobile', 'http://dbpedia.org/ontology/MeanOfTransportation'}]"
Honda_WR-V,productionStartYear,2017,Valid,"['', {'http://dbpedia.org/ontology/Automobile', 'http://dbpedia.org/ontology/MeanOfTransportation'}, 'http://www.w3.org/2001/XMLSchema#gYear', set()]"
Honda_HR-V__Second_generation__1,relatedMeanOfTransportation,Honda_WR-V,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/MeanOfTransportation', {'http://dbpedia.org/ontology/Automobile', 'http://dbpedia.org/ontology/MeanOfTransportation'}, 'http://dbpedia.org/ontology/MeanOfTransportation', {'http://dbpedia.org/ontology/Automobile', 'http://dbpedia.org/ontology/MeanOfTransportation'}]"
Honda_Fit__Third_generation__1,relatedMeanOfTransportation,Honda_WR-V,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/MeanOfTransportation', {'http://dbpedia.org/ontology/Automobile', 'http://dbpedia.org/ontology/MeanOfTransportation'}, 'http://dbpedia.org/ontology/MeanOfTransportation', {'http://dbpedia.org/ontology/Automobile', 'http://dbpedia.org/ontology/MeanOfTransportation'}]"
Honda_BR-V__Second_generation__1,relatedMeanOfTransportation,Honda_WR-V,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/MeanOfTransportation', {'http://dbpedia.org/ontology/Automobile', 'http://dbpedia.org/ontology/MeanOfTransportation'}, 'http://dbpedia.org/ontology/MeanOfTransportation', {'http://dbpedia.org/ontology/Automobile', 'http://dbpedia.org/ontology/MeanOfTransportation'}]"
Honda_Amaze__Second_generation__1,relatedMeanOfTransportation,Honda_WR-V,"Valid (Domain matches, range matches)","['http://dbpedia.org/ontology/MeanOfTransportation', {'http://dbpedia.org/ontology/Automobile', 'http://dbpedia.org/ontology/MeanOfTransportation'}, 'http://dbpedia.org/ontology/MeanOfTransportation', {'http://dbpedia.org/ontology/Automobile', 'http://dbpedia.org/ontology/MeanOfTransportation'}]"
