Property,arts and recreation,biography,food and agriculture,geography,history,language and literature,measurements,philosophy,religion,science,social sciences,technology
Automobile/wheelbase,0,0,0,0,0,0,0,0,0,0,0,4
Building/floorArea,0,0,0,1,0,0,0,0,0,0,0,0
Infrastructure/length,0,0,0,8,0,0,0,0,0,0,0,0
MeanOfTransportation/height,0,0,0,0,0,0,0,0,0,0,0,2
MeanOfTransportation/length,0,0,0,0,0,0,0,0,0,0,0,8
MeanOfTransportation/weight,0,0,0,0,0,0,0,0,0,0,0,4
MeanOfTransportation/width,0,0,0,0,0,0,0,0,0,0,0,4
Person/height,0,47,0,0,0,0,0,0,0,0,0,0
Person/weight,0,18,0,0,0,0,0,0,0,0,0,0
PopulatedPlace/area,0,0,0,8,0,0,0,0,0,0,0,0
PopulatedPlace/areaTotal,0,0,0,43,0,0,0,0,0,0,0,0
PopulatedPlace/populationDensity,0,0,0,18,0,0,0,0,0,0,0,0
PopulatedPlace/populationUrbanDensity,0,0,0,2,0,0,0,0,0,0,0,0
Work/runtime,39,0,0,2,0,0,0,0,0,0,0,1
abbreviation,0,0,0,0,0,1,0,0,0,0,6,0
academicDiscipline,0,2,0,0,0,1,0,2,0,1,0,0
acquirementDate,0,0,0,0,0,0,0,0,0,0,0,3
activeYearsEndYear,2,28,0,0,0,0,0,0,0,0,1,3
activeYearsStartYear,4,52,0,0,0,0,0,0,0,0,1,3
address,0,0,0,14,0,0,0,0,0,0,0,0
affiliation,0,0,0,2,3,0,0,0,0,0,2,0
ageRange,0,0,0,1,0,0,0,0,0,0,0,0
agency,0,3,0,0,0,0,0,0,0,0,0,0
agencyStationCode,0,0,0,1,0,0,0,0,0,0,0,0
album,20,0,0,0,0,0,0,0,0,0,0,0
alias,1,8,1,0,0,0,0,0,0,0,0,1
allegiance,0,2,0,0,0,0,0,0,0,0,0,0
almaMater,0,55,0,7,0,0,0,0,0,0,0,0
alongside,0,2,0,0,0,0,0,0,0,0,0,0
alternativeName,0,1,0,1,0,0,0,0,1,13,0,0
architect,0,5,0,6,0,0,0,0,0,0,0,0
architecturalStyle,0,0,0,11,0,0,0,0,0,0,0,0
area,0,0,0,13,0,0,0,0,0,0,0,0
areaCode,0,0,0,20,0,0,0,0,0,0,0,0
areaLand,0,0,0,23,0,0,0,0,0,0,0,0
areaOfCatchment,0,0,0,1,0,0,0,0,0,0,0,0
areaTotal,0,0,0,45,0,0,0,0,0,0,0,0
areaWater,0,0,0,14,0,0,0,0,0,0,0,0
arrondissement,0,0,0,1,0,0,0,0,0,0,0,0
artist,23,2,0,0,0,0,0,0,0,0,0,0
assembly,0,0,0,0,0,0,0,0,0,0,0,2
assets,0,0,0,1,0,0,0,0,0,0,0,2
