Expected,Actual,arts and recreation,biography,food and agriculture,geography,history,language and literature,measurements,philosophy,religion,science,social sciences,technology
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",0,2,0,0,0,0,0,1,0,1,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Band', 'http://dbpedia.org/ontology/Group', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Organisation'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote'}",69,58,0,7,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/AustralianRulesFootballPlayer', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",0,1,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",0,8,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,{'http://dbpedia.org/ontology/PersonFunction'},0,49,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/City', 'http://dbpedia.org/ontology/Settlement', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location'}",0,0,0,3,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote'}",21,23,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/DartsPlayer', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",16,2,0,17,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/MilitaryPerson', 'http://dbpedia.org/ontology/Animal'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/VolleyballPlayer', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",0,1,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Animal'}",1,0,0,0,0,0,0,0,0,0,1,0
http://dbpedia.org/ontology/Agent,{'http://dbpedia.org/ontology/PersonFunction'},0,20,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Animal,{'http://dbpedia.org/ontology/PersonFunction'},0,74,0,0,0,0,0,0,0,0,0,0
