Entity,Overall validity %,Number of triples,Subject validity %,Number of instances as a subject,Object validity %,Number of instances as a subject
1977_Centennial_Cup,0,0,0,0,0,0
2008_World_Interuniversity_Games,0,0,0,0,0,0
The_World_We_Know_(Ace_Enders_album),0,0,0,0,0,0
2027_FIFA_Women's_World_Cup_qualification_–_UEFA_League_A,0,0,0,0,0,0
1994_NBA_playoffs,0,1,0,0,0,1
Table_tennis_at_the_2008_Summer_Olympics_–_Women's_singles,100,8,100,6,100,2
The_Natural_Son,100,2,100,2,0,0
Harlem_Writers_Guild,0,0,0,0,0,0
Danish_Women's_Basketball_Cup,67,9,100,6,0,3
La_Romana_Men_(volleyball_club),0,0,0,0,0,0
Life_in_the_Snow,67,9,67,9,0,0
1979_JSL_Cup,0,0,0,0,0,0
Permanent_Green_Light,80,5,80,5,0,0
1930_Toronto_Argonauts_season,100,2,100,2,0,0
Pondicherry_women's_cricket_team,80,5,0,1,100,4
1995–96_FIS_Ski_Flying_World_Cup,0,0,0,0,0,0
Trouble_in_the_Jungle,0,0,0,0,0,0
Mystery_at_Olympia,89,9,86,7,100,2
2020_NC_State_Wolfpack_women's_soccer_team,84,25,84,25,0,0
Basketball_at_the_2023_Pan_American_Games_–_Women's_3x3_tournament,0,0,0,0,0,0
Barbados_Division_Two,67,3,50,2,100,1
2016_European_Athletics_Championships_–_Women's_400_metres,0,0,0,0,0,0
Hero_(Chad_Kroeger_song),64,14,64,14,0,0
Libya_national_football_team_results_(2020–present),0,0,0,0,0,0
El_Güegüense,85,13,85,13,0,0
Mind_How_You_Go_(Skye_Edwards_album),0,0,0,0,0,0
"2016_Tour_de_France,_Stage_12_to_Stage_21",0,0,0,0,0,0
No_Thanks!_The_'70s_Punk_Rebellion,0,0,0,0,0,0
Mobile_Suit_Gundam_SEED_Destiny,45,11,0,5,83,6
My_Little_One_(1933_film),57,7,57,7,0,0
Festival_de_Ancón,0,0,0,0,0,0
The_Teaser,53,15,53,15,0,0
Best_Soccer_Player_ESPY_Award,50,2,50,2,0,0
2007_Baltic_League_final,0,2,0,2,0,0
The_Littlest_Outlaw,73,11,73,11,0,0
Stardust_Award_for_Best_Supporting_Actress,0,0,0,0,0,0
1990_European_Athletics_Indoor_Championships_–_Men's_400_metres,0,0,0,0,0,0
Scottish_Cup_(rugby_union),0,0,0,0,0,0
Corruption_(1983_film),75,4,75,4,0,0
The_Affairs_of_Cellini,54,13,54,13,0,0
Nomad_(British_band),100,7,100,5,100,2
G-Host,0,0,0,0,0,0
1956_12_Hours_of_Reims,0,0,0,0,0,0
Motoblot,67,3,67,3,0,0
Ghost_in_the_Machine_(film),62,13,62,13,0,0
Rhino_Bucket,73,22,81,16,50,6
"Classic_Nuts,_Vol._1",0,0,0,0,0,0
Castlemitchell_GAA,0,1,0,0,0,1
Anthem_of_Vladimir_Oblast,0,0,0,0,0,0
16_@_War,67,12,67,12,0,0
1957_Lamar_Tech_Cardinals_football_team,0,0,0,0,0,0
2020_Rolex_Paris_Masters_–_Singles,0,0,0,0,0,0
The_Rej3ctz,55,11,57,7,50,4
1999_TSFL_season,0,0,0,0,0,0
Fat_White_Family,60,25,73,15,40,10
Babu_(1975_film),56,9,56,9,0,0
Chicago_Film_Critics_Association_Award_for_Best_Original_Score,0,0,0,0,0,0
2019_in_American_football,0,0,0,0,0,0
Death_by_Magic,38,8,38,8,0,0
Reggae_Blues,64,14,64,14,0,0
2010–11_Northern_Colorado_Bears_men's_basketball_team,0,0,0,0,0,0
PFL_Europe_1_(2024),67,6,60,5,100,1
Professional_Dreamer,0,0,0,0,0,0
DMACK_World_Rally_Team,0,0,0,0,0,0
The_Face_in_the_Watch,56,9,56,9,0,0
Arch_of_Triumph_(1984_film),27,11,27,11,0,0
2020_Jackson_State_Tigers_football_team,0,0,0,0,0,0
Shyam_Singha_Roy,64,11,64,11,0,0
The_Hermiston_Herald,83,6,83,6,0,0
Mrs._Parker_and_the_Vicious_Circle,33,27,33,27,0,0
American_Life,100,5,0,0,100,5
Hello_Tomorrow!,55,22,55,22,0,0
Speaking_of_Sex,44,16,44,16,0,0
Road_Home,0,0,0,0,0,0
The_Rising_of_the_Shield_Hero_season_4,67,3,67,3,0,0
