Property,arts and recreation,biography,food and agriculture,geography,history,language and literature,measurements,philosophy,religion,science,social sciences,technology
Lake/areaOfCatchment,0,0,0,1,0,0,0,0,0,0,0,0
Lake/shoreLength,0,0,0,1,0,0,0,0,0,0,0,0
Lake/volume,0,0,0,1,0,0,0,0,0,0,0,0
Person/height,0,1,0,0,0,0,0,0,0,0,0,0
Planet/apoapsis,0,0,0,0,0,0,0,0,0,3,0,0
Planet/averageSpeed,0,0,0,0,0,0,0,0,0,3,0,0
Planet/density,0,0,0,0,0,0,0,0,0,2,0,0
Planet/maximumTemperature,0,0,0,0,0,0,0,0,0,6,0,0
Planet/meanTemperature,0,0,0,0,0,0,0,0,0,12,0,0
Planet/minimumTemperature,0,0,0,0,0,0,0,0,0,6,0,0
Planet/orbitalPeriod,0,0,0,0,0,0,0,0,0,6,0,0
Planet/periapsis,0,0,0,0,0,0,0,0,0,3,0,0
Planet/volume,0,0,0,0,0,0,0,0,0,5,0,0
PopulatedPlace/area,0,0,0,80,0,0,0,0,0,0,6,0
PopulatedPlace/areaMetro,0,0,0,27,1,0,0,0,0,0,0,0
PopulatedPlace/areaTotal,0,0,0,49,0,0,0,0,0,0,0,0
PopulatedPlace/areaUrban,0,0,0,16,0,0,0,0,0,0,0,0
PopulatedPlace/populationDensity,0,0,0,93,1,0,0,0,0,0,7,0
PopulatedPlace/populationMetroDensity,0,0,0,10,0,0,0,0,0,0,0,0
PopulatedPlace/populationUrbanDensity,0,0,0,12,0,0,0,0,0,0,0,0
abbreviation,0,0,0,0,0,0,0,0,0,0,6,0
absoluteMagnitude,0,0,0,0,0,0,0,0,0,1,0,0
academicAdvisor,0,67,0,0,0,0,0,0,0,0,0,0
academicDiscipline,145,72,46,77,96,193,1,150,39,1855,332,511
activeYearsEndYear,0,45,0,0,0,0,0,0,0,0,0,0
activeYearsStartYear,0,49,0,0,0,0,0,0,0,0,0,0
addressInRoad,0,0,0,3,0,0,0,0,0,0,0,0
administrativeCenter,0,0,0,92,0,0,0,0,0,0,15,0
administrativeCollectivity,0,0,0,1,0,0,0,0,0,0,0,0
administrativeDistrict,0,0,0,3,0,0,0,0,0,0,0,0
affiliation,0,0,0,40,1,1,0,2,155,1,111,2
agency,0,0,0,7,0,0,0,0,0,0,0,0
albedo,0,0,0,0,0,0,0,0,0,9,0,0
album,0,2,0,0,0,0,0,0,0,0,0,0
alias,0,22,0,0,0,0,0,0,0,5,0,0
almaMater,7,35,2,490,10,8,0,13,0,71,68,9
alongside,0,10,0,0,0,0,0,0,0,0,0,0
alternativeName,0,0,0,6,0,0,0,0,0,0,0,0
alumni,0,3,1,0,0,0,0,0,0,0,0,0
anthem,0,1,0,25,7,10,0,0,0,0,2,0
apoapsis,0,0,0,0,0,0,0,0,0,3,0,0
apparentMagnitude,0,0,0,0,0,0,0,0,0,2,0,0
appointer,0,123,0,0,0,0,0,0,0,0,0,0
archipelago,0,0,0,21,0,0,0,0,0,0,0,0
architect,19,106,0,9,0,0,0,0,0,0,0,0
architecturalStyle,17,1,0,7,74,1,0,0,3,0,1,3
area,0,0,0,82,0,0,0,0,0,0,6,0
areaCode,0,0,0,30,0,0,0,0,0,0,0,0
areaLand,0,0,0,10,0,0,0,0,0,0,0,0
areaMetro,0,0,0,27,1,0,0,0,0,0,0,0
areaOfCatchment,0,0,0,5,0,0,0,0,0,0,0,0
areaOfSearch,0,0,0,1,0,0,0,0,0,0,0,0
areaTotal,0,0,0,60,0,0,0,0,0,0,0,0
areaUrban,0,0,0,16,0,0,0,0,0,0,0,0
areaWater,0,0,0,10,0,0,0,0,0,0,0,0
artery,0,0,0,0,0,0,0,0,0,11,0,0
artist,0,183,0,0,0,0,0,0,0,0,0,0
assembly,0,0,0,1326,5,0,0,0,0,0,0,0
associatedBand,4,161,0,3,0,0,1,0,0,11,1,3
associatedMusicalArtist,4,161,0,3,0,0,1,0,0,11,1,3
author,1,1689,0,2,1,5,1,0,0,0,0,0
authority,0,0,0,1,0,0,0,0,0,0,0,0
automobilePlatform,0,0,0,0,0,0,0,0,0,3,0,0
averageDepth,0,0,0,7,0,0,0,0,0,0,0,0
averageSpeed,0,0,0,0,0,0,0,0,0,3,0,0
award,17,130,0,103,13,9,0,0,1,31,70,6
background,0,1,0,0,0,0,0,0,0,0,0,0
bandMember,108,0,0,5,0,1,0,0,0,0,0,0
basedOn,1,78,0,0,0,2,0,0,0,0,0,0
battle,0,4,0,128,290,0,0,0,0,1,4,0
beatifiedBy,0,1,0,0,0,0,0,0,4,0,0,0
beatifiedDate,0,1,0,0,0,0,0,0,0,0,0,0
beatifiedPlace,50,0,0,246,0,0,0,0,0,0,0,0
beltwayCity,0,0,0,11,0,0,0,0,0,0,0,0
billed,0,0,0,257,1,0,0,0,1,0,0,0
binomialAuthority,0,39,0,0,0,0,0,0,0,0,0,0
birthDate,0,152,0,0,0,0,0,0,0,0,0,0
birthName,0,77,0,0,0,0,0,0,0,0,0,0
birthPlace,1,332,1,4532,561,0,0,0,0,2,6,0
birthYear,0,93,0,0,0,0,0,0,0,0,0,0
blockAlloy,0,0,0,0,0,0,0,0,0,55,0,0
board,0,1,0,2,0,0,0,0,0,0,3,0
bodyDiscovered,0,0,0,17,0,0,0,0,0,0,0,0
