Property,arts and recreation,biography,food and agriculture,geography,history,language and literature,measurements,philosophy,religion,science,social sciences,technology
academicDiscipline,83,71,23,61,67,111,0,96,26,1630,192,401
administrativeCenter,0,0,0,92,0,0,0,0,0,0,15,0
affiliation,0,0,0,40,1,1,0,0,0,1,31,1
album,0,2,0,0,0,0,0,0,0,0,0,0
almaMater,5,5,0,490,2,7,0,13,0,69,59,1
alongside,0,1,0,0,0,0,0,0,0,0,0,0
alumni,0,1,0,0,0,0,0,0,0,0,0,0
anthem,0,1,0,2,0,8,0,0,0,0,0,0
architect,16,18,0,9,0,0,0,0,0,0,0,0
architecturalStyle,0,1,0,0,1,0,0,0,0,0,1,0
artist,0,133,0,0,0,0,0,0,0,0,0,0
associatedBand,2,136,0,3,0,0,0,0,0,5,0,0
associatedMusicalArtist,2,154,0,3,0,0,0,0,0,5,0,0
author,0,168,0,2,0,2,0,0,0,0,0,0
award,2,30,0,103,13,7,0,0,0,28,58,3
bandMember,0,0,0,5,0,1,0,0,0,0,0,0
basedOn,1,78,0,0,0,0,0,0,0,0,0,0
battle,0,4,0,128,54,0,0,0,0,0,3,0
beatifiedPlace,50,0,0,0,0,0,0,0,0,0,0,0
beltwayCity,0,0,0,3,0,0,0,0,0,0,0,0
billed,0,0,0,5,0,0,0,0,0,0,0,0
birthPlace,0,49,1,1,0,0,0,0,0,0,4,0
border,0,0,0,2,0,0,0,0,0,0,0,0
broadcastArea,0,0,0,4,0,0,0,0,0,0,0,0
broadcastNetwork,0,0,0,2,0,0,0,0,0,0,0,0
canonizedPlace,50,0,0,0,0,0,0,0,0,0,0,0
canton,0,1,0,0,0,0,0,0,0,0,0,0
capital,0,0,0,61,3,0,0,0,0,0,1,0
ceo,0,0,0,1,0,0,0,0,0,0,0,0
chairman,0,0,0,9,0,0,0,0,0,0,0,0
champion,0,0,0,8,0,0,0,0,0,0,0,0
championInSingleFemale,0,0,0,1,0,0,0,0,0,0,0,0
championInSingleMale,0,0,0,1,0,0,0,0,0,0,0,0
channel,0,0,0,7,0,0,0,0,0,0,0,0
child,0,45,0,4,0,0,0,0,0,2,0,0
childOrganisation,0,0,0,4,0,1,0,0,0,0,0,0
cinematography,0,5,0,0,0,0,0,0,0,0,0,0
citizenship,0,1,0,0,0,0,0,0,0,0,0,0
city,0,1,0,1291,0,0,0,0,0,0,1,0
club,0,1,0,257,0,0,0,0,0,0,0,0
coach,0,0,0,5,0,0,0,0,0,0,0,0
colour,0,0,0,5,0,3,0,0,0,6,1,0
commandStructure,0,0,0,4,0,0,0,0,0,0,8,0
commander,0,39,0,15,8,0,0,0,0,3,5,0
company,1,0,0,5,0,0,0,0,0,0,1,0
composer,0,17,0,0,0,0,0,0,0,0,0,0
country,0,25,0,386,22,3,0,0,0,1,58,0
countryOrigin,0,0,0,1,0,0,0,0,0,0,0,0
county,0,0,1,0,0,0,0,0,0,0,0,0
coverArtist,0,14,0,0,0,0,0,0,0,0,0,0
creator,0,263,0,1,9,0,0,0,0,0,0,0
creatorOfDish,0,0,0,2,1,0,0,0,0,0,0,0
crewMember,0,2,0,0,0,0,0,0,0,0,0,0
crosses,0,0,0,19,0,0,0,0,0,0,0,0
curator,0,0,0,0,1,0,0,0,0,0,0,0
currency,0,0,0,0,4,0,0,0,0,4,0,0
currentMember,0,1,0,0,0,0,0,0,0,0,0,0
damsire,0,0,0,1,0,0,0,0,0,0,0,0
deathCause,0,6,0,0,0,0,0,0,0,0,0,0
deathPlace,0,43,0,0,1,0,0,0,0,0,2,0
designCompany,0,20,0,0,0,0,0,0,0,0,0,0
designer,1,10,0,2,0,0,0,0,0,0,0,0
destination,0,0,0,2,0,0,0,0,0,0,0,0
developer,2,4,0,3,1,0,0,0,0,0,0,0
diocese,0,0,0,106,0,0,0,0,0,0,0,0
director,0,274,0,3,0,0,0,0,0,0,0,0
discipline,4,0,0,0,0,0,0,0,0,3,0,13
discoverer,0,0,0,1,0,0,0,0,0,0,0,0
distributingCompany,0,0,0,7,0,0,0,0,0,0,0,0
distributingLabel,0,0,0,7,0,0,0,0,0,0,0,0
distributor,0,0,0,17,0,0,0,0,0,0,1,0
district,0,0,0,36,0,0,0,0,0,1,0,0
doctoralAdvisor,0,1,0,0,0,0,0,0,0,0,0,0
editing,0,61,0,0,0,0,0,0,0,0,0,0
editor,0,4,0,1,0,1,0,0,0,0,0,0
education,0,4,0,0,0,0,0,0,0,0,0,0
employer,0,19,0,27,2,1,0,0,0,2,12,0
engine,0,0,0,0,0,0,0,0,0,8,0,0
executiveProducer,0,5,0,0,0,0,0,0,0,0,0,0
family,0,0,0,0,0,0,0,0,0,28,0,0
father,0,4,0,0,0,0,0,0,0,0,0,0
field,3,2,0,2,5,0,0,10,1,13,72,6
firstAscentPerson,0,1,0,4,10,0,0,0,0,0,0,0
firstWinner,0,0,0,1,0,0,0,0,0,0,0,0
followingEvent,0,0,0,1,0,0,0,0,0,0,0,0
formerBandMember,1,1,0,0,0,0,0,0,0,0,0,0
formerTeam,0,0,0,19,0,0,0,0,0,0,0,0
foundationPlace,0,0,0,1,0,0,0,0,0,0,0,0
foundedBy,0,153,0,50,2,0,0,0,0,0,8,0
founder,0,0,0,3,0,0,0,0,0,1,1,0
garrison,0,0,0,1,0,0,0,0,0,1,0,0
genre,415,18,3,39,21,104,0,43,50,163,138,74
governingBody,0,0,0,4,0,0,0,0,0,0,0,0
governmentType,0,0,0,6,4,0,0,0,0,0,0,0
grandsire,0,0,0,1,0,0,0,0,0,0,0,0
ground,0,1,0,209,0,0,0,0,0,0,0,0
headquarter,2,3,0,276,3,0,0,0,0,0,2,0
highest,0,0,0,13,0,0,0,0,0,0,0,0
highschool,0,0,0,26,0,0,0,0,0,0,0,0
homeStadium,0,1,0,225,0,0,0,0,0,0,0,0
homeport,0,1,0,0,0,0,0,0,0,0,0,0
hometown,0,0,0,1572,3,3,0,0,0,0,1,0
house,0,0,0,56,0,0,0,0,0,0,2,0
hubAirport,0,0,0,31,0,0,0,0,0,0,0,0
ideology,0,8,1,8,5,4,0,0,0,1,60,0
illustrator,0,7,0,0,0,0,0,0,0,0,0,0
importantStation,0,0,0,2,0,0,0,0,0,0,0,0
inflow,0,0,0,14,0,0,0,0,0,0,0,0
