Expected,Actual,arts and recreation,biography,food and agriculture,geography,history,language and literature,measurements,philosophy,religion,science,social sciences,technology
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/AcademicConference', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/SocietalEvent'}",0,0,0,0,0,0,0,0,0,1,0,10
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/AcademicConference', 'http://dbpedia.org/ontology/SocietalEvent', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/MusicFestival'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Cricketer', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/Athlete'}",0,0,0,0,0,0,0,0,0,1,0,0
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/Animal'}",0,0,0,0,0,0,0,0,0,5,0,2
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/Animal'}",0,0,0,0,0,0,0,0,0,0,0,1
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/Animal'}",0,0,0,0,0,0,0,0,0,0,0,1
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/Philosopher'}",0,0,0,0,0,0,0,0,0,1,0,0
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/Animal'}",82,71,23,61,67,111,0,96,26,1622,192,387
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Architect', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Animal'}",0,1,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Deity', 'http://dbpedia.org/ontology/Agent'}",0,0,0,0,0,0,0,0,1,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/Species'}",0,209,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,{'http://dbpedia.org/ontology/Food'},0,0,1,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/MusicalArtist', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Animal'}",0,3,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Band', 'http://dbpedia.org/ontology/Group'}",0,6,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Artist', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Animal'}",0,6,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Astronaut', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Animal'}",0,2,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/Royalty'}",0,1,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/Animal'}",0,18,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/Animal'}",0,2,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Writer', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Animal'}",0,1,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,{'http://dbpedia.org/ontology/PersonFunction'},0,206,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Saint', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Cleric', 'http://dbpedia.org/ontology/Animal'}",0,1,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/TopicalConcept', 'http://dbpedia.org/ontology/AcademicSubject'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/AdministrativeRegion,"{'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Company', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/AdministrativeRegion,"{'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/Non-ProfitOrganisation'}",0,0,0,2,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/AdministrativeRegion,"{'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent'}",0,0,0,14,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/AdministrativeRegion,"{'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/State'}",0,0,0,1,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/AdministrativeRegion,"{'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace'}",0,0,0,74,0,0,0,0,0,0,15,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/BoardGame', 'http://dbpedia.org/ontology/Activity', 'http://dbpedia.org/ontology/Game'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/Building', 'http://dbpedia.org/ontology/ArchitecturalStructure', 'http://dbpedia.org/ontology/Skyscraper'}",1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/Continent', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace'}",0,0,0,19,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/City', 'http://dbpedia.org/ontology/Settlement'}",0,0,0,6,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Agent,"{'http://dbpedia.org/ontology/Country', 'http://dbpedia.org/ontology/Location', 'http://dbpedia.org/ontology/PopulatedPlace', 'http://dbpedia.org/ontology/Place', 'http://dbpedia.org/ontology/State'}",0,0,0,6,0,0,0,0,0,0,0,0
