Property,"anthropology, psychology and everyday life",arts,biology,geography,history,language and literature,mathematics,people,philosophy,physics,religion,society and social sciences,technology
Automobile/wheelbase,0,0,0,0,0,0,0,0,0,0,0,0,4
Building/floorArea,0,6,0,0,0,0,0,0,0,0,0,0,0
Infrastructure/length,0,3,0,0,0,0,0,0,0,0,0,0,15
Lake/areaOfCatchment,0,0,0,6,0,0,0,0,0,0,0,0,0
Lake/shoreLength,0,0,0,5,0,0,0,0,0,0,0,0,0
Lake/volume,0,0,0,9,0,0,0,0,0,0,0,0,0
MeanOfTransportation/height,0,0,0,0,0,0,0,0,0,0,0,0,6
MeanOfTransportation/length,0,0,0,0,0,0,0,0,0,0,0,0,2
MeanOfTransportation/weight,0,0,0,0,0,0,0,0,0,0,0,0,4
MeanOfTransportation/width,0,0,0,0,0,0,0,0,0,0,0,0,4
Person/height,0,0,0,0,0,0,0,111,0,0,0,0,0
Person/weight,0,0,0,0,0,0,0,55,0,0,0,0,0
Planet/apoapsis,0,0,0,0,0,0,0,0,0,6,0,0,0
Planet/averageSpeed,0,0,0,0,0,0,0,0,0,7,0,0,0
Planet/density,0,0,0,0,0,0,0,0,0,2,0,0,0
Planet/maximumTemperature,0,0,0,0,0,0,0,0,0,14,0,0,0
Planet/meanTemperature,0,0,0,0,0,0,0,0,0,20,0,0,0
Planet/minimumTemperature,0,0,0,0,0,0,0,0,0,14,0,0,0
Planet/orbitalPeriod,0,0,0,0,0,0,0,0,0,13,0,0,0
Planet/periapsis,0,0,0,0,0,0,0,0,0,6,0,0,0
Planet/temperature,0,0,0,0,0,0,0,0,0,3,0,0,0
Planet/volume,0,0,0,0,0,0,0,0,0,8,0,0,0
PopulatedPlace/area,0,1,0,372,7,0,0,0,0,0,0,29,0
PopulatedPlace/areaMetro,0,0,0,132,9,0,0,0,0,0,0,1,0
PopulatedPlace/areaTotal,0,3,0,361,1,0,0,0,0,1,0,0,0
PopulatedPlace/areaUrban,0,0,0,89,0,0,0,0,0,0,0,0,0
PopulatedPlace/populationDensity,0,1,0,475,5,0,0,0,0,0,0,25,0
PopulatedPlace/populationMetroDensity,0,0,0,39,0,0,0,0,0,0,0,0,0
PopulatedPlace/populationUrbanDensity,0,0,0,61,0,0,0,0,0,0,0,0,0
SpaceMission/missionDuration,0,0,0,0,0,0,0,0,0,5,0,0,1
Weapon/length,0,0,0,0,0,0,0,0,0,0,0,0,2
Weapon/weight,0,0,0,0,0,0,0,0,0,0,0,0,2
Work/runtime,0,3,0,0,0,0,0,0,0,0,0,15,0
abbreviation,0,0,0,0,0,0,0,0,0,60,0,45,1
absoluteMagnitude,0,0,0,0,0,0,0,0,0,1,0,0,0
academicAdvisor,0,0,0,0,0,0,0,323,0,0,0,3,0
academicDiscipline,776,224,2778,85,694,478,1418,367,352,3621,207,1915,1959
activeYearsEndDate,0,0,0,0,0,0,0,4,0,0,0,0,0
activeYearsEndYear,0,0,0,0,5,0,0,507,0,0,2,0,0
activeYearsStartYear,0,0,0,0,5,0,0,660,0,0,2,0,0
address,0,10,0,0,0,0,0,0,0,0,0,0,0
addressInRoad,0,0,0,8,0,0,0,0,0,0,0,0,0
administrativeCenter,0,0,0,203,1,0,0,0,0,0,0,66,0
administrativeCollectivity,0,0,0,11,0,0,0,0,0,0,0,0,0
administrativeDistrict,0,0,0,5,0,0,0,0,0,0,0,0,0
administrator,0,0,0,0,0,0,0,0,0,0,0,1,0
affiliation,3,8,0,128,22,2,0,5,1,1,291,817,11
agency,0,0,0,43,0,0,0,0,0,0,0,0,0
aircraftAttack,0,0,0,0,0,0,0,0,0,0,0,0,1
albedo,0,0,0,0,0,0,0,0,0,15,0,0,0
album,1,33,0,2,0,0,0,9,0,1,1,1,0
alias,0,0,21,0,0,4,0,180,0,0,3,0,13
allegiance,0,1,0,0,0,0,0,8,0,0,1,0,0
almaMater,24,14,40,1170,28,16,21,529,15,53,7,3263,62
alongside,0,0,0,0,0,0,0,39,0,0,0,2,0
alternativeName,0,2,5,40,0,0,0,3,0,114,0,5,59
alumni,0,0,0,0,0,0,0,5,0,0,1,0,1
anniversary,0,0,0,0,1,0,0,0,0,0,0,0,0
anthem,0,0,0,119,27,12,0,1,0,0,0,18,0
apoapsis,0,0,0,0,0,0,0,0,0,6,0,0,0
apparentMagnitude,0,0,0,0,0,0,0,0,0,9,0,0,0
appointer,0,0,0,2,1,0,0,921,0,0,0,62,0
archipelago,0,0,0,590,0,0,0,0,0,1,0,0,0
architect,0,57,0,37,7,0,0,564,0,0,2,9,18
architecturalStyle,3,618,0,11,116,2,0,36,100,3,118,12,94
area,0,1,0,380,7,0,0,0,0,0,0,29,0
areaCode,0,1,1,188,0,0,0,0,0,0,0,0,0
areaLand,0,0,0,60,1,0,0,0,0,0,0,0,0
areaMetro,0,0,0,132,9,0,0,0,0,0,0,1,0
areaOfCatchment,0,0,0,18,0,0,0,0,0,0,0,0,0
areaOfSearch,0,0,0,16,0,0,0,0,0,0,0,0,0
areaRural,0,0,0,2,0,0,0,0,0,0,0,0,0
areaTotal,0,3,0,429,1,0,0,0,0,2,0,0,0
areaUrban,0,0,0,89,0,0,0,0,0,0,0,0,0
areaWater,0,0,0,53,0,0,0,0,0,0,0,0,0
arrondissement,0,3,0,119,0,0,0,0,0,0,0,0,0
artery,0,0,37,0,0,0,0,0,0,0,0,0,0
artist,0,1,0,0,0,0,0,4325,0,0,0,8,0
assembly,0,8,0,2957,42,0,0,0,0,0,0,2,139
assetUnderManagement,0,0,0,0,0,0,0,0,0,0,0,3,0
assets,0,0,0,0,0,0,0,0,0,0,0,14,5
associate,0,0,0,0,0,0,0,2,0,0,0,0,0
associatedBand,3,13,22,8,2,2,3,2448,1,15,7,18,13
associatedMusicalArtist,3,13,22,8,2,2,3,2448,1,15,7,18,13
atcCode,0,0,0,0,0,0,0,0,0,2,0,0,0
author,2,16,0,2,6,41,0,7509,0,1,7,174,10
authority,0,0,0,2,0,0,0,0,0,0,0,1,0
automobilePlatform,0,0,0,0,0,0,0,0,0,2,0,0,15
averageDepth,0,0,0,55,0,0,0,0,0,0,0,0,0
averageSpeed,0,0,0,0,0,0,0,0,0,7,0,0,2
award,5,100,18,279,73,11,7,1404,1,29,3,677,35
background,0,0,0,0,0,0,0,14,0,0,0,0,0
bandMember,1,387,0,10,0,1,0,51,0,0,0,1,0
basedOn,0,16,0,0,3,27,0,191,0,0,5,3,0
battery,0,0,0,0,0,0,0,0,0,6,0,0,1
