Property,"anthropology, psychology and everyday life",arts,biology,geography,history,language and literature,mathematics,people,philosophy,physics,religion,society and social sciences,technology
Automobile/wheelbase,0,0,0,0,0,0,0,0,0,0,0,0,2
Infrastructure/length,0,1,0,0,0,0,0,0,0,0,0,0,1
MeanOfTransportation/height,0,0,0,0,0,0,0,0,0,0,0,0,3
MeanOfTransportation/length,0,0,0,0,0,0,0,0,0,0,0,0,1
MeanOfTransportation/weight,0,0,0,0,0,0,0,0,0,0,0,0,2
MeanOfTransportation/width,0,0,0,0,0,0,0,0,0,0,0,0,2
Person/height,0,0,0,0,0,0,0,6,0,0,0,0,0
academicAdvisor,0,0,0,0,0,0,0,0,0,0,0,2,0
academicDiscipline,655,117,2037,66,509,315,1300,366,245,3246,90,1026,1703
administrativeCenter,0,0,0,203,1,0,0,0,0,0,0,66,0
affiliation,3,0,0,122,1,2,0,5,0,1,0,58,1
album,1,1,0,2,0,0,0,9,0,0,0,1,0
almaMater,20,9,37,1150,18,12,19,76,14,41,7,164,48
alongside,0,0,0,0,0,0,0,1,0,0,0,0,0
alumni,0,0,0,0,0,0,0,2,0,0,0,0,0
anthem,0,0,0,4,1,10,0,1,0,0,0,0,0
appointer,0,0,0,2,1,0,0,0,0,0,0,8,0
architect,0,40,0,36,7,0,0,230,0,0,0,4,12
architecturalStyle,0,27,0,1,5,0,0,8,9,0,4,1,9
arrondissement,0,2,0,0,0,0,0,0,0,0,0,0,0
artist,0,1,0,0,0,0,0,3746,0,0,0,4,0
assembly,0,0,0,0,0,0,0,0,0,0,0,0,52
associatedBand,0,7,18,8,2,1,0,2177,1,4,1,12,2
associatedMusicalArtist,0,7,18,8,2,1,0,2196,1,4,1,12,2
author,1,1,0,2,3,3,0,533,0,1,4,160,1
automobilePlatform,0,0,0,0,0,0,0,0,0,0,0,0,8
award,3,30,13,276,65,8,7,235,0,17,1,571,13
bandMember,0,2,0,10,0,1,0,10,0,0,0,1,0
basedOn,0,4,0,0,2,2,0,186,0,0,2,1,0
battery,0,0,0,0,0,0,0,0,0,0,0,0,1
battle,0,0,1,393,102,0,0,14,0,0,0,3,1
beatifiedBy,0,0,0,0,0,0,0,0,0,0,5,0,0
beatifiedPlace,0,57,0,0,0,0,0,1,0,0,0,0,0
beltwayCity,0,0,0,8,0,0,0,0,0,0,0,0,0
billed,0,0,0,9,2,0,0,0,0,0,0,0,0
birthPlace,2,60,9,2,5,2,0,564,0,0,4,21,1
board,0,0,0,0,0,0,0,15,0,0,0,0,0
bodyDiscovered,0,0,0,0,1,0,0,0,0,0,0,0,0
bodyStyle,0,0,0,0,0,0,0,0,0,0,0,0,7
border,0,0,0,11,0,0,0,0,0,0,0,0,0
breeder,0,0,0,2,0,0,0,0,0,0,0,0,0
broadcastArea,0,1,0,16,0,0,0,0,0,0,0,5,0
broadcastNetwork,0,15,0,2,0,0,0,1,0,0,0,223,0
canonizedBy,0,0,0,1,1,0,0,0,0,0,2,0,0
canonizedPlace,0,50,0,0,0,0,0,2,0,0,0,0,0
canton,0,0,0,0,0,0,0,1,0,1,0,0,0
capital,0,5,0,152,124,0,0,0,0,0,0,4,0
ceo,0,0,0,1,0,0,0,0,0,0,0,0,0
chairman,0,0,0,23,0,0,0,16,0,0,2,0,0
chairperson,0,0,0,0,0,0,0,0,0,0,0,1,0
champion,0,0,0,36,0,0,0,29,0,0,0,0,0
championInDoubleFemale,0,0,0,1,0,0,0,30,0,0,0,0,0
championInDoubleMale,0,0,0,1,0,0,0,50,0,0,0,0,0
championInMixedDouble,0,0,0,0,0,0,0,12,0,0,0,0,0
championInSingleFemale,0,0,0,1,0,0,0,22,0,0,0,0,0
championInSingleMale,0,0,0,1,0,0,0,27,0,0,0,0,0
chancellor,0,0,0,1,0,0,0,0,0,0,0,6,0
channel,0,0,0,15,0,0,0,0,0,0,0,100,0
child,0,4,3,12,5,5,0,340,0,0,18,4,1
childOrganisation,0,1,0,16,0,1,0,0,0,0,0,0,1
cinematography,0,0,0,0,0,0,0,32,0,0,0,0,0
citizenship,0,0,0,0,0,0,0,16,0,0,0,0,0
city,0,9,0,3798,28,0,0,1,0,0,0,30,3
club,0,3,0,817,1,0,0,8,0,0,0,17,1
coach,0,1,0,11,0,0,0,0,0,0,0,1,0
coachClub,0,0,0,1,0,0,0,0,0,0,0,3,0
college,0,0,0,1,0,0,0,1,0,0,0,0,0
colour,0,0,3,5,0,3,0,0,0,12,0,3,2
commandStructure,0,0,0,15,8,0,0,1,0,0,0,11,0
commander,2,0,3,25,33,0,0,96,0,0,1,12,0
company,0,2,0,9,0,0,0,59,0,0,0,19,0
composer,0,5,0,2,0,0,0,293,0,0,0,0,3
constituencyDistrict,0,0,1,0,0,0,0,0,0,0,0,3,0
country,30,5,0,1386,110,75,0,69,0,1,19,114,1
countryOrigin,0,0,0,1,0,0,0,0,0,0,0,0,0
countryWithFirstSatellite,0,0,0,1,0,0,0,0,0,0,0,0,0
county,0,0,0,0,0,0,0,0,0,0,0,0,1
coverArtist,0,0,0,0,0,0,0,20,0,4,1,2,0
creativeDirector,0,0,0,0,0,0,0,1,0,0,0,0,0
creator,0,1,0,2,9,10,0,907,0,0,0,28,1
creatorOfDish,3,0,0,8,4,0,0,3,0,0,0,1,0
crewMember,0,0,0,0,0,0,0,5,0,0,0,0,1
crosses,0,0,0,55,0,0,0,0,0,0,0,0,5
curator,0,0,1,0,3,0,0,0,0,0,0,0,0
currency,0,0,2,1,14,0,0,0,0,4,0,3,0
currentMember,0,0,1,1,5,0,0,188,0,1,2,11,0
currentProduction,0,5,0,0,0,2,0,0,0,0,0,1,0
dam,0,0,0,1,0,0,0,0,0,0,0,0,0
damsire,0,0,0,2,0,0,0,0,0,0,0,0,0
deathCause,0,0,0,0,0,0,0,18,0,0,0,0,0
deathPlace,0,51,2,0,26,0,0,359,0,1,3,30,0
derivative,0,0,0,0,0,0,0,0,0,0,0,1,0
designCompany,0,0,0,1,0,0,0,22,0,0,0,0,8
designer,0,1,0,7,1,0,0,18,0,0,0,43,10
destination,0,0,0,3,0,0,0,0,0,0,0,0,2
developer,0,3,0,9,1,0,0,59,0,0,0,15,15
diocese,0,10,0,420,6,0,0,1,0,0,0,0,0
director,0,0,0,3,0,0,0,2124,0,0,0,24,0
discipline,0,103,0,0,0,0,1,15,0,5,0,1,197
discoverer,0,0,0,1,0,0,0,0,0,11,0,2,0
disease,0,0,3,0,0,0,0,0,0,0,0,0,0
distributingCompany,0,0,0,25,0,0,0,0,0,0,0,3,0
distributingLabel,0,0,0,25,0,0,0,0,0,0,0,9,0
distributor,0,0,1,31,2,1,0,38,0,1,2,79,0
district,0,0,1,113,0,0,0,0,0,0,0,2,0
doctoralAdvisor,0,0,0,0,0,0,0,3,0,0,0,15,0
doctoralStudent,0,0,0,0,0,0,0,4,0,0,0,0,0
editing,0,1,0,0,0,0,0,221,0,0,0,0,0
editor,0,0,0,2,0,1,0,30,0,0,0,11,0
education,0,0,0,0,0,0,0,72,0,0,0,0,0
employer,1,6,1,89,9,4,0,68,0,1,0,269,0
endingTheme,0,1,0,0,0,0,0,3,0,0,1,0,0
engine,0,0,0,0,0,0,0,0,0,8,0,0,46
engineer,0,2,0,0,0,0,0,0,0,0,0,0,0
ethnicGroup,0,0,0,6,2,0,0,0,0,0,0,0,0
executiveProducer,0,0,0,1,0,0,0,154,0,0,0,8,0
family,0,0,532,0,0,0,0,0,0,0,0,0,0
fastestDriverTeam,0,0,0,0,0,0,0,0,0,0,0,0,1
father,0,0,0,1,1,0,0,61,0,0,1,1,0
field,7,2,2,2,22,1,102,19,17,3,2,327,15
firstAscentPerson,0,0,0,8,11,0,0,1,0,0,0,0,0
firstDriver,0,0,0,6,0,0,0,78,0,0,0,0,0
firstDriverCountry,0,0,0,1,0,0,0,0,0,0,0,0,0
firstDriverTeam,0,0,0,0,0,0,0,0,0,0,0,0,3
firstLeader,0,0,0,1,0,0,0,0,0,0,0,0,0
firstWinner,0,0,0,1,0,0,0,0,0,0,0,0,0
followingEvent,0,0,0,1,0,0,0,0,0,0,0,0,0
formerBandMember,0,3,0,0,0,0,0,50,0,0,0,0,0
formerBroadcastNetwork,0,1,0,0,0,0,0,0,0,0,0,95,0
formerTeam,0,53,0,23,0,0,0,0,0,0,2,4,0
foundationPlace,0,0,0,2,0,0,0,0,0,0,0,0,0
foundedBy,0,1,1,103,22,0,0,771,0,1,6,65,14
founder,3,0,1,7,30,0,0,4,0,0,1,9,0
frazioni,0,0,0,0,0,0,0,1,0,0,0,0,0
gameArtist,0,0,0,0,0,0,0,1,0,0,0,0,0
garrison,0,3,0,5,3,0,0,0,0,1,0,0,0
genre,57,744,80,56,123,224,36,33,92,91,96,306,294
goldMedalist,0,0,0,0,0,0,0,3,0,0,0,0,0
governingBody,0,0,0,10,0,0,0,0,0,0,0,0,0
governmentType,0,0,0,17,34,0,0,0,0,0,2,5,1
governor,0,0,0,0,0,0,0,1,0,0,0,0,0
grandsire,0,0,0,2,0,0,0,1,0,0,0,0,0
ground,0,29,0,536,1,0,0,1,0,0,0,0,0
growingGrape,0,0,0,5,0,0,0,0,0,0,0,0,0
head,0,0,0,0,0,0,0,0,0,0,1,1,0
headquarter,0,41,1,1466,28,0,0,4,0,0,0,81,3
highest,0,0,0,43,0,0,0,0,0,2,0,0,0
highschool,0,0,0,274,0,0,0,2,0,0,0,0,0
homeStadium,0,28,0,496,0,0,0,1,0,0,0,0,0
homeport,0,0,0,0,0,0,0,1,0,0,0,0,0
hometown,23,3,4,5755,93,8,0,5,0,3,0,37,0
house,0,0,0,158,5,0,0,0,0,0,0,4,0
hubAirport,0,0,0,81,0,0,0,0,0,0,0,0,0
hybrid,0,0,9,0,0,0,0,0,0,0,0,0,0
ideology,13,0,1,55,25,5,0,19,2,0,2,79,1
