Expected,Actual,"anthropology, psychology and everyday life",arts,biology,geography,history,language and literature,mathematics,people,philosophy,physics,religion,society and social sciences,technology
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal'}",2,0,4,0,1,0,2,0,0,3,0,0,4
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Cricketer', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal'}",0,0,0,0,0,0,0,0,0,1,0,0,0
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Athlete', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal', 'http://dbpedia.org/ontology/SoccerPlayer'}",0,0,0,0,0,0,0,0,0,1,0,0,0
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Entomologist', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal'}",0,0,6,0,0,0,0,0,0,1,1,0,0
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Engineer', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal'}",0,0,0,0,0,0,0,0,0,1,0,0,2
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal'}",1,0,0,0,0,0,0,0,1,1,0,0,0
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Royalty', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal'}",0,0,0,0,0,0,0,0,1,0,0,0,0
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/Medician', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal'}",1,0,2,0,0,0,0,0,0,1,0,1,0
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal'}",651,116,2024,66,508,315,1293,366,242,3232,89,1021,1670
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Scientist', 'http://dbpedia.org/ontology/Politician', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal'}",0,0,0,0,0,0,0,0,0,3,0,0,2
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/AcademicConference', 'http://dbpedia.org/ontology/SocietalEvent'}",0,0,1,0,0,0,5,0,1,2,0,4,24
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/Organisation', 'http://dbpedia.org/ontology/Agent', 'http://dbpedia.org/ontology/AcademicConference', 'http://dbpedia.org/ontology/SocietalEvent'}",0,0,0,0,0,0,0,0,0,0,0,0,1
http://dbpedia.org/ontology/AcademicJournal,"{'http://dbpedia.org/ontology/MusicFestival', 'http://dbpedia.org/ontology/Event', 'http://dbpedia.org/ontology/AcademicConference', 'http://dbpedia.org/ontology/SocietalEvent'}",0,1,0,0,0,0,0,0,0,0,0,0,0
http://dbpedia.org/ontology/Actor,"{'http://dbpedia.org/ontology/Academic', 'http://dbpedia.org/ontology/Eukaryote', 'http://dbpedia.org/ontology/Philosopher', 'http://dbpedia.org/ontology/Species', 'http://dbpedia.org/ontology/Person', 'http://dbpedia.org/ontology/Animal'}",0,0,0,0,0,0,0,1,0,0,0,0,0
