Entity,Overall validity %,Number of triples,Subject validity %,Number of instances as a subject,Object validity %,Number of instances as a subject
Anthropology,52,224,0,0,52,224
Biological_anthropology,12,56,0,0,12,56
Race_(human_categorization),85,26,0,0,85,26
Cultural_anthropology,35,69,0,0,35,69
Linguistic_anthropology,33,3,0,0,33,3
Social_anthropology,33,57,0,0,33,57
People,33,3,0,0,33,3
Ethnology,26,129,0,0,26,129
Ethnic_group,0,0,0,0,0,0
Ethnography,48,189,0,0,48,189
Indigenous_peoples,69,16,0,0,69,16
Bantu_peoples,92,59,44,9,100,50
Basques,55,44,82,11,45,33
San_people,85,26,82,17,89,9
Germanic_peoples,38,16,0,0,38,16
Indigenous_Australians,59,41,85,13,46,28
Indigenous_peoples_of_the_Americas,73,82,89,18,69,64
Cherokee,34,73,94,17,16,56
Inuit,59,46,81,16,47,30
Jews,65,224,73,22,64,202
Kurds,27,181,84,31,15,150
Maasai_people,89,18,100,10,75,8
Mongols,80,70,93,15,76,55
Romani_people,69,51,92,13,61,38
Slavs,57,37,60,10,56,27
Tutsi,87,15,100,10,60,5
Arabs,73,118,95,22,68,96
Austronesian_peoples,99,67,94,17,100,50
Berbers,72,40,94,18,55,22
Creole_peoples,67,3,0,0,67,3
Han_Chinese,52,94,95,21,40,73
Malayalis,75,40,100,14,62,26
Māori_people,33,46,100,8,18,38
Proto-Indo-Europeans,0,0,0,0,0,0
Semitic,0,0,0,0,0,0
Turkish_people,34,181,94,18,27,163
Uyghurs,34,35,23,13,41,22
Psychology,65,307,0,0,65,307
Clinical_psychology,29,90,0,0,29,90
Cognitive_psychology,25,57,0,0,25,57
Evolutionary_psychology,38,40,0,0,38,40
Personality_psychology,60,43,0,0,60,43
Psychology_of_religion,56,9,0,0,56,9
Psychotherapy,49,118,100,2,48,116
Genius,100,2,0,0,100,2
Hypnosis,34,38,100,1,32,37
Libido,0,0,0,0,0,0
Phobia,93,15,100,13,50,2
Pessimism,50,4,0,0,50,4
Perception,71,21,0,0,71,21
Social_psychology,31,84,0,0,31,84
Stockholm_syndrome,0,0,0,0,0,0
Cognition,53,19,0,0,53,19
Leadership,71,41,0,0,71,41
Creativity,60,15,0,0,60,15
Power,100,1,0,0,100,1
Optimism,100,1,0,0,100,1
Human_nature,100,11,0,0,100,11
Imagination,100,4,0,0,100,4
Crying,100,2,0,0,100,2
Hyprocrisy,0,0,0,0,0,0
Oedipus_complex,100,2,0,0,100,2
Sense,60,5,0,0,60,5
Memory,85,34,0,0,85,34
Analytical_psychology,39,33,0,0,39,33
Behaviorism,59,17,0,0,59,17
Developmental_psychology,35,72,0,0,35,72
